SEXO,NIVEL_ACADEMICO
Hombre,Primaria
Mujer,Secundaria
Hombre,Primaria
Mujer,Secundaria
Hombre,Secundaria
Mujer,Secundaria
Mujer,Carrera técnica con secundaria terminada
Mujer,Preescolar
Hombre,Secundaria
Mujer,Preparatoria o bachillerato
Mujer,Preparatoria o bachillerato
Mujer,Preescolar
Hombre,Primaria
Mujer,Secundaria
Mujer,Preparatoria o bachillerato
Hombre,Preparatoria o bachillerato
Mujer,Preparatoria o bachillerato
Hombre,Preparatoria o bachillerato
Mujer,Secundaria
Mujer,Licenciatura o profesional
Hombre,Licenciatura o profesional
Mujer,Preescolar
Hombre,Secundaria
Mujer,Secundaria
Hombre,Secundaria
Mujer,Secundaria
Hombre,Secundaria
Hombre,Primaria
Mujer,Secundaria
Mujer,Secundaria
Hombre,Preparatoria o bachillerato
Hombre,Secundaria
Hombre,Preparatoria o bachillerato
Mujer,Primaria
Mujer,Secundaria
Hombre,Secundaria
Mujer,Primaria
Mujer,Secundaria
Mujer,Licenciatura o profesional
Hombre,Licenciatura o profesional
Mujer,Secundaria
Mujer,Primaria
Mujer,Primaria
Hombre,Secundaria
Mujer,Carrera técnica con secundaria terminada
Mujer,Preparatoria o bachillerato
Mujer,Secundaria
Mujer,Preparatoria o bachillerato
Mujer,Licenciatura o profesional
Hombre,Licenciatura o profesional
Mujer,Preescolar
Hombre,Primaria
Hombre,Secundaria
Hombre,Licenciatura o profesional
Mujer,Secundaria
Hombre,Secundaria
Mujer,Primaria
Hombre,Primaria
Hombre,Secundaria
Hombre,Secundaria
Hombre,Preparatoria o bachillerato
Mujer,Preparatoria o bachillerato
Hombre,Preescolar
Mujer,Licenciatura o profesional
Mujer,Preparatoria o bachillerato
Mujer,Licenciatura o profesional
Mujer,Preparatoria o bachillerato
Mujer,Licenciatura o profesional
Mujer,Ninguno
Mujer,Primaria
Mujer,Preparatoria o bachillerato
Mujer,Secundaria
Hombre,Ninguno
Mujer,Preparatoria o bachillerato
Mujer,Primaria
Hombre,Primaria
Hombre,Preparatoria o bachillerato
Hombre,Licenciatura o profesional
Mujer,Primaria
Hombre,Primaria
Mujer,Preparatoria o bachillerato
Hombre,Primaria
Mujer,Preparatoria o bachillerato
Mujer,Preparatoria o bachillerato
Hombre,Primaria
Hombre,Licenciatura o profesional
Mujer,Primaria
Hombre,Ninguno
Mujer,Primaria
Hombre,Ninguno
Mujer,Preescolar
Hombre,Primaria
Mujer,Secundaria
Hombre,Primaria
Mujer,Primaria
Mujer,Primaria
Mujer,Secundaria
Mujer,Preparatoria o bachillerato
Mujer,Primaria
Hombre,Primaria
Mujer,Secundaria
Mujer,Secundaria
Hombre,Preparatoria o bachillerato
Hombre,Licenciatura o profesional
Hombre,Ninguno
Hombre,Primaria
Mujer,Secundaria
Mujer,Secundaria
Hombre,Preparatoria o bachillerato
Hombre,Preparatoria o bachillerato
Mujer,Licenciatura o profesional
Mujer,Primaria
Mujer,Preparatoria o bachillerato
Hombre,Secundaria
Mujer,Licenciatura o profesional
Mujer,Preparatoria o bachillerato
Hombre,Primaria
Hombre,Primaria
Hombre,Secundaria
Hombre,Preparatoria o bachillerato
Mujer,Licenciatura o profesional
Mujer,Ninguno
Mujer,Ninguno
Mujer,Ninguno
Mujer,Preescolar
Hombre,Secundaria
Mujer,Preescolar
Mujer,Secundaria
Hombre,Preparatoria o bachillerato
Hombre,Licenciatura o profesional
Mujer,Licenciatura o profesional
Hombre,Preparatoria o bachillerato
Mujer,Preparatoria o bachillerato
Mujer,Ninguno
Hombre,Primaria
Mujer,Secundaria
Mujer,Primaria
Mujer,Secundaria
Hombre,Primaria
Hombre,Secundaria
Hombre,Secundaria
Hombre,Primaria
Hombre,Secundaria
Hombre,Preparatoria o bachillerato
Hombre,Ninguno
Mujer,Primaria
Hombre,Licenciatura o profesional
Hombre,Secundaria
Mujer,Secundaria
Hombre,Licenciatura o profesional
Hombre,Licenciatura o profesional
Mujer,Secundaria
Hombre,Primaria
Mujer,Preparatoria o bachillerato
Hombre,Preescolar
Mujer,Preparatoria o bachillerato
Mujer,Primaria
Mujer,Preparatoria o bachillerato
Hombre,Secundaria
Mujer,Secundaria
Mujer,Preescolar
Mujer,Primaria
Mujer,Secundaria
Mujer,Primaria
Hombre,Preparatoria o bachillerato
Hombre,Primaria
Hombre,Secundaria
Mujer,Secundaria
Mujer,Licenciatura o profesional
Hombre,Licenciatura o profesional
Mujer,Preescolar
Mujer,Primaria
Mujer,Preparatoria o bachillerato
Hombre,Primaria
Hombre,Preparatoria o bachillerato
Mujer,Preparatoria o bachillerato
Mujer,Preparatoria o bachillerato
Hombre,Preparatoria o bachillerato
Hombre,Secundaria
Hombre,Licenciatura o profesional
Hombre,Primaria
Mujer,Secundaria
