SEXO,EDAD
Hombre,9
Mujer,28
Hombre,8
Mujer,17
Hombre,19
Mujer,20
Mujer,22
Mujer,6
Hombre,14
Mujer,18
Mujer,25
Mujer,6
Hombre,9
Mujer,26
Mujer,18
Hombre,20
Mujer,19
Hombre,21
Mujer,15
Mujer,20
Hombre,21
Mujer,6
Hombre,22
Mujer,23
Hombre,22
Mujer,23
Hombre,29
Hombre,9
Mujer,15
Mujer,17
Hombre,18
Hombre,24
Hombre,25
Mujer,7
Mujer,14
Hombre,23
Mujer,9
Mujer,14
Mujer,26
Hombre,28
Mujer,14
Mujer,11
Mujer,15
Hombre,15
Mujer,16
Mujer,26
Mujer,14
Mujer,18
Mujer,22
Hombre,23
Mujer,6
Hombre,11
Hombre,14
Hombre,22
Mujer,15
Hombre,16
Mujer,9
Hombre,10
Hombre,15
Hombre,15
Hombre,22
Mujer,22
Hombre,5
Mujer,20
Mujer,25
Mujer,26
Mujer,29
Mujer,28
Mujer,21
Mujer,6
Mujer,17
Mujer,19
Hombre,4
Mujer,23
Mujer,10
Hombre,11
Hombre,16
Hombre,20
Mujer,8
Hombre,10
Mujer,16
Hombre,8
Mujer,20
Mujer,28
Hombre,9
Hombre,28
Mujer,28
Hombre,3
Mujer,8
Hombre,4
Mujer,6
Hombre,7
Mujer,27
Hombre,7
Mujer,7
Mujer,12
Mujer,15
Mujer,16
Mujer,7
Hombre,12
Mujer,13
Mujer,20
Hombre,20
Hombre,24
Hombre,5
Hombre,10
Mujer,26
Mujer,14
Hombre,17
Hombre,23
Mujer,24
Mujer,10
Mujer,20
Hombre,26
Mujer,28
Mujer,21
Hombre,6
Hombre,11
Hombre,15
Hombre,20
Mujer,24
Mujer,3
Mujer,4
Mujer,3
Mujer,6
Hombre,27
Mujer,5
Mujer,14
Hombre,18
Hombre,26
Mujer,26
Hombre,18
Mujer,18
Mujer,4
Hombre,8
Mujer,25
Mujer,12
Mujer,15
Hombre,12
Hombre,14
Hombre,16
Hombre,11
Hombre,12
Hombre,20
Hombre,4
Mujer,8
Hombre,25
Hombre,12
Mujer,14
