EDAD,NIVEL_ACADEMICO,DISPOSITIVO_PRINCIPAL_PARA_CLASES
8,Primaria,Celular inteligente (Smartphone)
17,Secundaria,Computadora port�til (laptop o notebook)
22,Carrera t�cnica con secundaria terminada,Computadora port�til (laptop o notebook)
6,Preescolar,Computadora port�til (laptop o notebook)
14,Secundaria,Celular inteligente (Smartphone)
18,Preparatoria o bachillerato,Computadora port�til (laptop o notebook)
6,Preescolar,Celular inteligente (Smartphone)
9,Primaria,Celular inteligente (Smartphone)
18,Preparatoria o bachillerato,Computadora port�til (laptop o notebook)
20,Preparatoria o bachillerato,Computadora port�til (laptop o notebook)
19,Preparatoria o bachillerato,Celular inteligente (Smartphone)
21,Preparatoria o bachillerato,Celular inteligente (Smartphone)
15,Secundaria,Celular inteligente (Smartphone)
20,Licenciatura o profesional,Computadora de escritorio
21,Licenciatura o profesional,Celular inteligente (Smartphone)
9,Primaria,Celular inteligente (Smartphone)
15,Secundaria,Celular inteligente (Smartphone)
18,Preparatoria o bachillerato,Celular inteligente (Smartphone)
7,Primaria,Celular inteligente (Smartphone)
14,Secundaria,Celular inteligente (Smartphone)
9,Primaria,Celular inteligente (Smartphone)
14,Secundaria,Celular inteligente (Smartphone)
26,Licenciatura o profesional,Celular inteligente (Smartphone)
14,Secundaria,Celular inteligente (Smartphone)
11,Primaria,Celular inteligente (Smartphone)
14,Secundaria,Celular inteligente (Smartphone)
18,Preparatoria o bachillerato,Computadora port�til (laptop o notebook)
22,Licenciatura o profesional,Computadora port�til (laptop o notebook)
23,Licenciatura o profesional,Computadora port�til (laptop o notebook)
6,Preescolar,Celular inteligente (Smartphone)
11,Primaria,Celular inteligente (Smartphone)
14,Secundaria,Tablet (pantalla t�ctil)
22,Licenciatura o profesional,Celular inteligente (Smartphone)
15,Secundaria,Televisi�n digital (pantalla plana)
16,Secundaria,Computadora port�til (laptop o notebook)
9,Primaria,Celular inteligente (Smartphone)
10,Primaria,Celular inteligente (Smartphone)
15,Secundaria,Celular inteligente (Smartphone)
15,Secundaria,Televisi�n digital (pantalla plana)
5,Preescolar,Celular inteligente (Smartphone)
20,Licenciatura o profesional,Computadora port�til (laptop o notebook)
26,Licenciatura o profesional,Celular inteligente (Smartphone)
17,Preparatoria o bachillerato,Celular inteligente (Smartphone)
19,Secundaria,Celular inteligente (Smartphone)
