NIVEL_ACADEMICO,CALIDAD_DE_DISPOSITIVO
Primaria,Es propiedad de la vivienda y lo compartió con otras personas de la misma
Secundaria,Es propiedad de la vivienda y lo compartió con otras personas de la misma
Carrera técnica con secundaria terminada,Es propiedad de la vivienda y fue de uso exclusivo
Preescolar,Es propiedad de la vivienda y lo compartió con otras personas de la misma
Secundaria,Es propiedad de la vivienda y fue de uso exclusivo
Preparatoria o bachillerato,Es propiedad de la vivienda y fue de uso exclusivo
Preescolar,9
Primaria,9
Preparatoria o bachillerato,Es propiedad de la vivienda y fue de uso exclusivo
Preparatoria o bachillerato,Es propiedad de la vivienda y fue de uso exclusivo
Preparatoria o bachillerato,Es propiedad de la vivienda y fue de uso exclusivo
Preparatoria o bachillerato,Es propiedad de la vivienda y fue de uso exclusivo
Secundaria,Es propiedad de la vivienda y fue de uso exclusivo
Licenciatura o profesional,Es propiedad de la vivienda y lo compartió con otras personas de la misma
Licenciatura o profesional,Es propiedad de la vivienda y fue de uso exclusivo
Primaria,Tuvo que rentarlo o pagar por su uso
Secundaria,Es propiedad de la vivienda y fue de uso exclusivo
Preparatoria o bachillerato,Es propiedad de la vivienda y fue de uso exclusivo
Primaria,Es propiedad de la vivienda y lo compartió con otras personas de la misma
Secundaria,Es propiedad de la vivienda y lo compartió con otras personas de la misma
Primaria,Es propiedad de la vivienda y lo compartió con otras personas de la misma
Secundaria,Es propiedad de la vivienda y lo compartió con otras personas de la misma
Licenciatura o profesional,Es propiedad de la vivienda y fue de uso exclusivo
Secundaria,Es propiedad de la vivienda y fue de uso exclusivo
Primaria,Es propiedad de la vivienda y lo compartió con otras personas de la misma
Secundaria,Es propiedad de la vivienda y fue de uso exclusivo
Preparatoria o bachillerato,Es propiedad de la vivienda y fue de uso exclusivo
Licenciatura o profesional,Es propiedad de la vivienda y lo compartió con otras personas de la misma
Licenciatura o profesional,Es propiedad de la vivienda y lo compartió con otras personas de la misma
Preescolar,Es propiedad de la vivienda y lo compartió con otras personas de la misma
Primaria,Es propiedad de la vivienda y lo compartió con otras personas de la misma
Secundaria,Es propiedad de la vivienda y fue de uso exclusivo
Licenciatura o profesional,Es propiedad de la vivienda y fue de uso exclusivo
Secundaria,Es propiedad de la vivienda y lo compartió con otras personas de la misma
Secundaria,Es propiedad de la vivienda y lo compartió con otras personas de la misma
Primaria,Es propiedad de la vivienda y lo compartió con otras personas de la misma
Primaria,Es propiedad de la vivienda y fue de uso exclusivo
Secundaria,Es propiedad de la vivienda y lo compartió con otras personas de la misma
Secundaria,Es propiedad de la vivienda y lo compartió con otras personas de la misma
Preescolar,Es propiedad de la vivienda y lo compartió con otras personas de la misma
Licenciatura o profesional,Es propiedad de la vivienda y fue de uso exclusivo
Licenciatura o profesional,Es propiedad de la vivienda y fue de uso exclusivo
Preparatoria o bachillerato,Es propiedad de la vivienda y lo compartió con otras personas de la misma
Secundaria,Es propiedad de la vivienda y lo compartió con otras personas de la misma
Primaria,Es propiedad de la vivienda y lo compartió con otras personas de la misma
Primaria,Es propiedad de la vivienda y lo compartió con otras personas de la misma
Preparatoria o bachillerato,Es propiedad de la vivienda y fue de uso exclusivo
Licenciatura o profesional,Es propiedad de la vivienda y fue de uso exclusivo
Primaria,9
Primaria,9
Preparatoria o bachillerato,Es propiedad de la vivienda y fue de uso exclusivo
Primaria,Es propiedad de la vivienda y lo compartió con otras personas de la misma
Primaria,Es propiedad de la vivienda y lo compartió con otras personas de la misma
Ninguno,9
Primaria,Es propiedad de la vivienda y lo compartió con otras personas de la misma
Preescolar,Es propiedad de la vivienda y lo compartió con otras personas de la misma
Primaria,Es propiedad de la vivienda y lo compartió con otras personas de la misma
Primaria,9
Primaria,Es propiedad de la vivienda y lo compartió con otras personas de la misma
Primaria,Es propiedad de la vivienda y lo compartió con otras personas de la misma
Secundaria,Es propiedad de la vivienda y lo compartió con otras personas de la misma
Preparatoria o bachillerato,Es propiedad de la vivienda y lo compartió con otras personas de la misma
Primaria,Es propiedad de la vivienda y lo compartió con otras personas de la misma
Secundaria,Es propiedad de la vivienda y lo compartió con otras personas de la misma
Secundaria,Es propiedad de la vivienda y lo compartió con otras personas de la misma
Preparatoria o bachillerato,Es propiedad de la vivienda y fue de uso exclusivo
Primaria,Es propiedad de la vivienda y lo compartió con otras personas de la misma
Primaria,Es propiedad de la vivienda y lo compartió con otras personas de la misma
Primaria,Es propiedad de la vivienda y lo compartió con otras personas de la misma
Secundaria,Es propiedad de la vivienda y lo compartió con otras personas de la misma
Preparatoria o bachillerato,Es propiedad de la vivienda y fue de uso exclusivo
Preescolar,Es propiedad de la vivienda y fue de uso exclusivo
Preescolar,Es propiedad de la vivienda y lo compartió con otras personas de la misma
Secundaria,Es propiedad de la vivienda y fue de uso exclusivo
Preparatoria o bachillerato,Es propiedad de la vivienda y fue de uso exclusivo
Preparatoria o bachillerato,Es propiedad de la vivienda y fue de uso exclusivo
Preparatoria o bachillerato,Es propiedad de la vivienda y fue de uso exclusivo
Primaria,9
Primaria,Es propiedad de la vivienda y lo compartió con otras personas de la misma
Secundaria,Es propiedad de la vivienda y fue de uso exclusivo
Primaria,Es propiedad de la vivienda y fue de uso exclusivo
Secundaria,Es propiedad de la vivienda y fue de uso exclusivo
Primaria,Es propiedad de la vivienda y fue de uso exclusivo
Secundaria,Es propiedad de la vivienda y fue de uso exclusivo
Primaria,Es propiedad de la vivienda y lo compartió con otras personas de la misma
Licenciatura o profesional,Es propiedad de la vivienda y fue de uso exclusivo
Secundaria,Es propiedad de la vivienda y lo compartió con otras personas de la misma
Secundaria,Es propiedad de la vivienda y lo compartió con otras personas de la misma
Licenciatura o profesional,Es propiedad de la vivienda y fue de uso exclusivo
Licenciatura o profesional,Es propiedad de la vivienda y lo compartió con otras personas de la misma
Secundaria,Es propiedad de la vivienda y lo compartió con otras personas de la misma
Primaria,Es propiedad de la vivienda y lo compartió con otras personas de la misma
Preparatoria o bachillerato,Es propiedad de la vivienda y lo compartió con otras personas de la misma
Preescolar,Es propiedad de la vivienda y lo compartió con otras personas de la misma
Primaria,Es propiedad de la vivienda y lo compartió con otras personas de la misma
Preparatoria o bachillerato,Es propiedad de la vivienda y fue de uso exclusivo
Secundaria,Es propiedad de la vivienda y lo compartió con otras personas de la misma
Secundaria,Es propiedad de la vivienda y lo compartió con otras personas de la misma
Preescolar,Es propiedad de la vivienda y lo compartió con otras personas de la misma
Primaria,Es propiedad de la vivienda y lo compartió con otras personas de la misma
Secundaria,Es propiedad de la vivienda y lo compartió con otras personas de la misma
Primaria,Es propiedad de la vivienda y lo compartió con otras personas de la misma
Licenciatura o profesional,Es propiedad de la vivienda y fue de uso exclusivo
Preescolar,Es propiedad de la vivienda y lo compartió con otras personas de la misma
Primaria,Es propiedad de la vivienda y lo compartió con otras personas de la misma
Primaria,Es propiedad de la vivienda y lo compartió con otras personas de la misma
Preparatoria o bachillerato,Es propiedad de la vivienda y fue de uso exclusivo
Secundaria,Es propiedad de la vivienda y fue de uso exclusivo
