HORAS_DEDICADAS_ESTUDIO,NIVEL_ACADEMICO
4,Primaria
2,Primaria
4,Carrera técnica con secundaria terminada
2,Preescolar
2,Secundaria
4,Preparatoria o bachillerato
3,Preescolar
2,Primaria
Una hora o menos2,Preparatoria o bachillerato
Una hora o menos2,Preparatoria o bachillerato
7,Preparatoria o bachillerato
7,Preparatoria o bachillerato
5,Secundaria
5,Licenciatura o profesional
4,Licenciatura o profesional
6,Preescolar
3,Primaria
7,Preparatoria o bachillerato
3,Primaria
8,Primaria
6,Secundaria
4,Secundaria
2,Primaria
5,Secundaria
8,Preparatoria o bachillerato
5,Licenciatura o profesional
4,Licenciatura o profesional
3,Preescolar
3,Primaria
4,Secundaria
4,Licenciatura o profesional
5,Secundaria
5,Secundaria
3,Primaria
4,Primaria
6,Secundaria
4,Secundaria
2,Preescolar
5,Licenciatura o profesional
6,Licenciatura o profesional
3,Primaria
5,Preparatoria o bachillerato
5,Secundaria
4,Ninguno
3,Preparatoria o bachillerato
5,Primaria
2,Primaria
2,Preparatoria o bachillerato
4,Licenciatura o profesional
3,Primaria
3,Primaria
6,Preparatoria o bachillerato
Una hora o menos2,Primaria
6,Primaria
2,Ninguno
6,Primaria
3,Preescolar
3,Primaria
2,Primaria
2,Primaria
5,Primaria
9,Secundaria
9,Preparatoria o bachillerato
4,Primaria
2,Primaria
5,Secundaria
2,Ninguno
3,Primaria
5,Secundaria
4,Preparatoria o bachillerato
6,Primaria
5,Primaria
5,Primaria
5,Secundaria
6,Preparatoria o bachillerato
2,Ninguno
6,Preescolar
2,Preescolar
Una hora o menos0,Secundaria
8,Preparatoria o bachillerato
5,Primaria
4,Primaria
Una hora o menos0,Secundaria
3,Primaria
3,Secundaria
7,Primaria
7,Secundaria
Una hora o menos,Ninguno
3,Primaria
8,Licenciatura o profesional
9,Secundaria
Una hora o menos0,Secundaria
8,Licenciatura o profesional
Una hora o menos0,Licenciatura o profesional
5,Secundaria
4,Primaria
4,Preescolar
5,Primaria
5,Preparatoria o bachillerato
8,Secundaria
8,Secundaria
4,Preescolar
4,Primaria
7,Secundaria
6,Primaria
9,Licenciatura o profesional
3,Preescolar
8,Primaria
6,Primaria
8,Preparatoria o bachillerato
7,Secundaria
5,Licenciatura o profesional
5,Primaria
Una hora o menos2,Secundaria
Una hora o menos2,Secundaria
